"","GEOID","NAME.x","total_pop.2010","total_HU.2010","total_vacant.2010","med_HH_Income.2010","total_White.2010","total_GradDeg.2010","vacancyPct.2010","pctWhite.2010","NAME.y","total_pop.2016","total_HU.2016","total_vacant.2016","med_HH_Income.2016","total_White.2016","total_GradDeg.2016","vacancyPct.2016","pctWhite.2016","change_med_HH_Income","change_Grad_Degree_Pct","pointBreeze"
"272","42101029100","Census Tract 291, Philadelphia County, Pennsylvania",4058,1743,239,25026,652,26,0.137119908204246,0.160670280926565,"Census Tract 291, Philadelphia County, Pennsylvania",4827,1683,131,25168,618,58,0.0778371954842543,0.128029832193909,-2378.1182,0.00560864767684404,"REST OF PHILADELPHIA"
"273","42101029200","Census Tract 292, Philadelphia County, Pennsylvania",3584,1486,199,30264,1022,246,0.133916554508748,0.28515625,"Census Tract 292, Philadelphia County, Pennsylvania",4611,1468,220,47097,925,83,0.149863760217984,0.200607243548037,13785.4152,-0.0506379591117514,"REST OF PHILADELPHIA"
"274","42101029300","Census Tract 293, Philadelphia County, Pennsylvania",2740,1201,253,21444,995,0,0.210657785179017,0.363138686131387,"Census Tract 293, Philadelphia County, Pennsylvania",3025,1169,280,28147,839,55,0.239520958083832,0.277355371900826,4543.5892,0.0181818181818182,"REST OF PHILADELPHIA"
"275","42101029400","Census Tract 294, Philadelphia County, Pennsylvania",3465,1367,278,23686,1329,18,0.2033650329188,0.383549783549784,"Census Tract 294, Philadelphia County, Pennsylvania",2838,1295,311,18950,903,14,0.24015444015444,0.318181818181818,-7121.1802,-0.000261753750125843,"REST OF PHILADELPHIA"
"276","42101029800","Census Tract 298, Philadelphia County, Pennsylvania",4515,1968,261,30639,2407,47,0.132621951219512,0.533111849390919,"Census Tract 298, Philadelphia County, Pennsylvania",5185,1982,96,28407,2176,92,0.0484359233097881,0.419672131147541,-5317.3473,0.00733374554549231,"REST OF PHILADELPHIA"
"277","42101029900","Census Tract 299, Philadelphia County, Pennsylvania",4715,1814,191,24926,1257,96,0.10529217199559,0.266595970307529,"Census Tract 299, Philadelphia County, Pennsylvania",4139,1813,262,18206,1570,76,0.144511858797573,0.379318676008698,-9230.0482,-0.00199862826175348,"REST OF PHILADELPHIA"
"278","42101030000","Census Tract 300, Philadelphia County, Pennsylvania",7141,3116,585,24448,1706,131,0.187740693196406,0.238902114549783,"Census Tract 300, Philadelphia County, Pennsylvania",7326,3057,582,27574,1527,92,0.190382728164868,0.208435708435708,664.0864,-0.00578675708209387,"REST OF PHILADELPHIA"
"279","42101030100","Census Tract 301, Philadelphia County, Pennsylvania",5363,2549,519,36270,1863,262,0.203609258532758,0.347380197650569,"Census Tract 301, Philadelphia County, Pennsylvania",5645,2615,406,31366,1783,224,0.155258126195029,0.31585473870682,-8556.389,-0.00917212002919324,"REST OF PHILADELPHIA"
"280","42101030200","Census Tract 302, Philadelphia County, Pennsylvania",8372,2758,239,35046,2352,77,0.0866569978245105,0.280936454849498,"Census Tract 302, Philadelphia County, Pennsylvania",7674,2748,408,41728,2175,151,0.148471615720524,0.283424550430023,3152.8678,0.010479506442725,"REST OF PHILADELPHIA"
"281","42101030501","Census Tract 305.01, Philadelphia County, Pennsylvania",4447,1956,187,33723,944,82,0.0956032719836401,0.212277940184394,"Census Tract 305.01, Philadelphia County, Pennsylvania",5933,2014,76,30921,1608,150,0.0377358490566038,0.271026462160796,-6197.9061,0.00684292188489175,"REST OF PHILADELPHIA"
"282","42101030502","Census Tract 305.02, Philadelphia County, Pennsylvania",6951,2167,92,51047,2173,220,0.042455006922012,0.312616889656165,"Census Tract 305.02, Philadelphia County, Pennsylvania",6699,2172,139,38963,1147,155,0.0639963167587477,0.171219585012688,-17224.4329,-0.00851234052609196,"REST OF PHILADELPHIA"
"283","42101030600","Census Tract 306, Philadelphia County, Pennsylvania",5887,2875,225,37984,3698,213,0.0782608695652174,0.628163750636997,"Census Tract 306, Philadelphia County, Pennsylvania",7679,2913,127,41584,3587,257,0.0435976656368006,0.467118114337804,-224.988799999999,-0.00271351721474584,"REST OF PHILADELPHIA"
"284","42101030700","Census Tract 307, Philadelphia County, Pennsylvania",3284,1488,159,41917,2289,57,0.106854838709677,0.697015834348356,"Census Tract 307, Philadelphia County, Pennsylvania",3823,1599,146,39440,2169,143,0.091307066916823,0.567355479989537,-6698.0419,0.0200482973272548,"REST OF PHILADELPHIA"
"285","42101030800","Census Tract 308, Philadelphia County, Pennsylvania",4943,1757,45,56774,3121,314,0.0256118383608423,0.631397936475824,"Census Tract 308, Philadelphia County, Pennsylvania",4850,1819,148,50690,2492,212,0.0813633864760858,0.513814432989691,-11801.1418,-0.0198128353956756,"REST OF PHILADELPHIA"
"286","42101030900","Census Tract 309, Philadelphia County, Pennsylvania",3761,1414,101,36864,1704,191,0.0714285714285714,0.453070991757511,"Census Tract 309, Philadelphia County, Pennsylvania",4427,1422,134,42716,1232,80,0.0942334739803094,0.278292297266772,2139.7952,-0.0327134374661973,"REST OF PHILADELPHIA"
"287","42101031000","Census Tract 310, Philadelphia County, Pennsylvania",6639,2214,83,48941,3269,186,0.0374887082204155,0.492393432745895,"Census Tract 310, Philadelphia County, Pennsylvania",8000,2339,228,43160,3408,314,0.0974775545104746,0.426,-10709.3587,0.0112337324898328,"REST OF PHILADELPHIA"
"288","42101031101","Census Tract 311.01, Philadelphia County, Pennsylvania",4478,1704,188,34190,1574,151,0.110328638497653,0.351496203662349,"Census Tract 311.01, Philadelphia County, Pennsylvania",5499,1778,155,33014,1607,179,0.0871766029246344,0.29223495180942,-4618.933,-0.0011690379208173,"REST OF PHILADELPHIA"
"289","42101031102","Census Tract 311.02, Philadelphia County, Pennsylvania",4594,1567,128,25672,1698,179,0.0816847479259732,0.369612538093165,"Census Tract 311.02, Philadelphia County, Pennsylvania",4364,1578,93,37926,819,81,0.05893536121673,0.187671860678277,9668.8296,-0.0204029126581637,"REST OF PHILADELPHIA"
"290","42101031200","Census Tract 312, Philadelphia County, Pennsylvania",4729,1678,52,40403,1818,51,0.0309892729439809,0.38443645591034,"Census Tract 312, Philadelphia County, Pennsylvania",5229,1778,181,38371,1016,56,0.101799775028121,0.194301013578122,-6100.5821,-7.50163549807885e-05,"REST OF PHILADELPHIA"
"291","42101031300","Census Tract 313, Philadelphia County, Pennsylvania",8177,2409,158,30379,3621,145,0.0655873806558738,0.442827442827443,"Census Tract 313, Philadelphia County, Pennsylvania",6592,2437,275,34902,2436,68,0.112843660237998,0.369538834951456,1463.8347,-0.0074171308109058,"REST OF PHILADELPHIA"
"292","42101031401","Census Tract 314.01, Philadelphia County, Pennsylvania",6694,2278,109,32223,2589,195,0.0478489903424056,0.38676426650732,"Census Tract 314.01, Philadelphia County, Pennsylvania",7414,2287,205,36961,2214,208,0.0896370791429821,0.298624224440248,1493.1439,-0.00107553366240228,"REST OF PHILADELPHIA"
"293","42101031402","Census Tract 314.02, Philadelphia County, Pennsylvania",5413,1877,121,46700,2829,172,0.0644645711241343,0.522630703861075,"Census Tract 314.02, Philadelphia County, Pennsylvania",5553,1933,146,32311,2279,76,0.0755302638385929,0.4104087880425,-19091.69,-0.0180890599293262,"REST OF PHILADELPHIA"
"294","42101031501","Census Tract 315.01, Philadelphia County, Pennsylvania",6074,2406,71,52849,5542,236,0.0295095594347465,0.912413566019098,"Census Tract 315.01, Philadelphia County, Pennsylvania",6349,2411,332,47531,5275,220,0.137702198257984,0.830839502283824,-10639.8943,-0.00420300620586764,"REST OF PHILADELPHIA"
"295","42101031502","Census Tract 315.02, Philadelphia County, Pennsylvania",4082,1579,95,48920,3523,68,0.0601646611779607,0.863057324840764,"Census Tract 315.02, Philadelphia County, Pennsylvania",3826,1601,226,40664,2665,150,0.141161773891318,0.696549921589127,-13182.244,0.022546935752259,"REST OF PHILADELPHIA"
"296","42101031600","Census Tract 316, Philadelphia County, Pennsylvania",6064,2207,158,43301,5287,265,0.0715903942002719,0.871866754617414,"Census Tract 316, Philadelphia County, Pennsylvania",6610,2297,78,37316,4095,235,0.0339573356552024,0.619515885022693,-10345.4107,-0.00814833405849456,"REST OF PHILADELPHIA"
"297","42101031700","Census Tract 317, Philadelphia County, Pennsylvania",5994,2358,184,38418,3794,162,0.0780322307039864,0.632966299632966,"Census Tract 317, Philadelphia County, Pennsylvania",5879,2426,181,45657,2485,89,0.0746084089035449,0.422690933832284,3370.3074,-0.0118883980084865,"REST OF PHILADELPHIA"
"298","42101031800","Census Tract 318, Philadelphia County, Pennsylvania",3766,1508,31,38490,1804,83,0.0205570291777188,0.479022835900159,"Census Tract 318, Philadelphia County, Pennsylvania",3915,1552,83,36694,1445,99,0.053479381443299,0.369093231162197,-5671.943,0.00324805733086723,"REST OF PHILADELPHIA"
"299","42101031900","Census Tract 319, Philadelphia County, Pennsylvania",4974,1887,248,41906,2733,77,0.131425543190249,0.549457177322075,"Census Tract 319, Philadelphia County, Pennsylvania",4933,1890,214,39057,2588,88,0.113227513227513,0.524630042570444,-7068.9342,0.0023585445859112,"REST OF PHILADELPHIA"
"300","42101032000","Census Tract 320, Philadelphia County, Pennsylvania",7251,2704,159,38592,4644,131,0.058801775147929,0.640463384360778,"Census Tract 320, Philadelphia County, Pennsylvania",6237,2692,278,41074,4872,91,0.103268945022288,0.781144781144781,-1404.2144,-0.00347612566616842,"REST OF PHILADELPHIA"
