,X,X1,tract,Asian18,Black18,White18,Other18,Asian13,Black13,White13,Other13,med_income2018,med_income2013,Hispanic13,Hispanic18,chasian,chblack,chwhite,chincome,chhisp,minor_pop_pct
203,203,203,60.1,0.058823529,0.333333333,0.509803922,0.098039216,0.027777778,0.444444444,0.5,0.027777778,54.5,41,0.083333333,0.137254902,3.104575163,-11.11111111,0.980392157,1350,5.392156863,70.88
204,204,204,61.03,0.013888889,0.180555556,0.611111111,0.180555556,0,0.160714286,0.803571429,0.035714286,134.5,106.5,0.017857143,0.041666667,1.388888889,1.984126984,-19.24603175,2800,2.380952381,37.41
205,205,205,61.04,0.050724638,0.442028986,0.362318841,0.130434783,0.036363636,0.536363636,0.354545455,0.072727273,52,43,0.1,0.195652174,1.436100132,-9.433465086,0.777338603,900,9.565217391,58.82
206,206,206,61.05,0,0.4,0.511111111,0.088888889,0.074074074,0.222222222,0.592592593,0.111111111,68,56,0,0.044444444,-7.407407407,17.77777778,-8.148148148,1200,4.444444444,60.93
207,207,207,61.06,0.031914894,0.308510638,0.563829787,0.095744681,0.02,0.32,0.54,0.12,61.5,52.5,0.04,0.14893617,1.191489362,-1.14893617,2.382978723,900,10.89361702,50.21
208,208,208,61.07,0.02739726,0.465753425,0.424657534,0.068493151,0.066666667,0.453333333,0.293333333,0.16,67,45,0.093333333,0.178082192,-3.926940639,1.242009132,13.13242009,2200,8.474885845,63.59
209,209,209,61.08,0.070588235,0.4,0.376470588,0.152941176,0.058823529,0.558823529,0.294117647,0.058823529,53,34,0.147058824,0.176470588,1.176470588,-15.88235294,8.235294118,1900,2.941176471,78.89
210,210,210,61.09,0,0.612903226,0.387096774,0,0.1,0.3,0.3,0.3,49,51,0.3,0.225806452,-10,31.29032258,8.709677419,-200,-7.419354839,90.01
211,211,211,62.03,0.008333333,0.008333333,0.808333333,0.166666667,0,0.010526316,0.905263158,0.084210526,144,118,0.031578947,0.05,0.833333333,-0.219298246,-9.692982456,2600,1.842105263,5.22
212,212,212,62.04,0.028846154,0.009615385,0.8125,0.149038462,0.006097561,0.048780488,0.884146341,0.054878049,183,159.5,0.018292683,0.028846154,2.274859287,-3.916510319,-7.164634146,2350,1.055347092,8.12
213,213,213,62.08,0.058823529,0,0.823529412,0.117647059,0.022222222,0.022222222,0.888888889,0.066666667,100,85,0,0.039215686,3.660130719,-2.222222222,-6.535947712,1500,3.921568627,24.26
214,214,214,62.09,0.067567568,0.081081081,0.72972973,0.108108108,0.044444444,0.044444444,0.822222222,0.088888889,95,72,0.044444444,0.054054054,2.312312312,3.663663664,-9.249249249,2300,0.960960961,17.08
215,215,215,62.1,0.019230769,0.038461538,0.798076923,0.134615385,0,0.0125,0.925,0.0625,106,92.5,0.025,0.028846154,1.923076923,2.596153846,-12.69230769,1350,0.384615385,11.78
216,216,216,62.11,0.046875,0.0234375,0.8046875,0.125,0.027777778,0.027777778,0.888888889,0.055555556,139,102,0,0.0078125,1.909722222,-0.434027778,-8.420138889,3700,0.78125,14.07
217,217,217,62.12,0.030769231,0.107692308,0.738461538,0.123076923,0.015873016,0.079365079,0.904761905,0,97,76,0.031746032,0.030769231,1.48962149,2.832722833,-16.63003663,2100,-0.097680098,29.13
218,218,218,62.13,0.054945055,0.080586081,0.725274725,0.131868132,0.008403361,0.042016807,0.865546218,0.075630252,100,82,0,0.065934066,4.65416936,3.856927386,-14.02714932,1800,6.593406593,16.96
219,219,219,62.14,0.037974684,0.037974684,0.873417722,0.050632911,0.029411765,0,0.955882353,0.014705882,80,68.5,0,0.037974684,0.856291884,3.797468354,-8.246463142,1150,3.797468354,15.7
220,220,220,62.15,0,0.137931034,0.712643678,0.137931034,0.037037037,0.055555556,0.777777778,0.12962963,77,65.5,0.055555556,0.045977011,-3.703703704,8.237547893,-6.513409962,1150,-0.957854406,32.57
221,221,221,63.02,0.077333333,0.141333333,0.618666667,0.157333333,0.015384615,0.071794872,0.882051282,0.030769231,118,102,0.046153846,0.032,6.194871795,6.953846154,-26.33846154,1600,-1.415384615,31.63
222,222,222,63.03,0.032258065,0.053763441,0.76344086,0.150537634,0,0.052631579,0.894736842,0.052631579,108,99.5,0.026315789,0.086021505,3.225806452,0.113186191,-13.12959819,850,5.97057159,18.38
223,223,223,63.04,0.065693431,0.058394161,0.744525547,0.124087591,0.043103448,0.043103448,0.827586207,0.086206897,108,95.5,0.034482759,0.04379562,2.258998238,1.529071231,-8.306065945,1250,0.931286182,17.81
224,224,224,64.03,0.072463768,0.014492754,0.797101449,0.115942029,0,0.025,0.875,0.1,161,112.5,0,0.014492754,7.246376812,-1.050724638,-7.789855072,4850,1.449275362,30.24
225,225,225,64.04,0.011627907,0.011627907,0.837209302,0.139534884,0.032679739,0.013071895,0.869281046,0.08496732,155.5,125,0.045751634,0.029069767,-2.105183159,-0.144398845,-3.207174343,3050,-1.668186655,12.71
226,226,226,64.05,0.027972028,0.020979021,0.804195804,0.13986014,0.05,0.025,0.866666667,0.058333333,99,75,0.016666667,0.020979021,-2.202797203,-0.402097902,-6.247086247,2400,0.431235431,19.92
227,227,227,64.06,0.026785714,0.017857143,0.776785714,0.178571429,0.040540541,0,0.878378378,0.081081081,68,56,0.013513514,0.035714286,-1.375482625,1.785714286,-10.15926641,1200,2.22007722,24.06
228,228,228,64.07,0.028169014,0.056338028,0.830985915,0.084507042,0.016129032,0.016129032,0.870967742,0.096774194,87,85,0.048387097,0.056338028,1.203998183,4.020899591,-3.998182644,200,0.795093139,19.7
average,,,,,0.177521746,0.638216847,0.11960062,0.050940222,0.184100682,0.690158911,0.069451435,90.88815789,72.96636771,0.084480467,0.10757549,1.024805766,-1.135847837,-4.798760836,1870.179372,2.052389536,51.32995614
sd,,,,,0.173826206,0.187133321,0.054092994,0.087301873,0.211578723,0.221070955,0.056597843,46.32942748,39.43106071,0.125246978,0.116714942,9.53376346,15.9742397,16.87985191,1850.528525,9.339189517,28.3255817
min,,,,,0,0.142857143,0,0,0,0,0,32,20,0,0,-100,-100,-63.63636364,-4400,-42.85714286,3.95
max,,,,,0.733333333,1,0.307692308,1,1,1,0.3,335,258,1,1,36.11111111,50,85.71428571,8700,42.85714286,99.1
,X,X1,tract,Asian18,Black18,White18,Other18,Asian13,Black13,White13,Other13,med_income2018,med_income2013,Hispanic13,Hispanic18,chasian,chblack,chwhite,chincome,chhisp,minor_pop_pct
